,<CONFIDENTIAL>,,,,,,,,,,,,
Normalized Fluorescence signal from 1000-1200 nm,,,,,,Maximum emission cross section,,,,,,,
,LG-770,LG-760,LG-750,APG-1,,LG-770,LG-760,LG-750,APG-1,,,,Prepared by Dr. Tedi-Marie Usher-Ditzian
Wavelength,Normalized,Normalized,Normalized,Normalized,,_em ,_em ,_em ,_em ,,,,SCHOTT R&D North America
l [nm],"Signal, FC(l)","Signal, FC(l)","Signal, FC(l)","Signal, FC(l)",,[10-20 cm2],[10-20 cm2],[10-20 cm2],[10-20 cm2],,,,"Oct 4th, 2021"
1008.875,0.000327714,0.003348012,-0.001474042,0.001267225,,,,,,,,,
1009,0.000949924,0.000587434,-0.000815248,-0.000962687,,,,,,,,,
1009.125,0.00032608,3.35646E-05,-0.004116582,0.002748132,,,,,,,,,
1009.25,0.000325263,0.001134727,-0.000157682,-0.000223763,,,,,,,,,
1009.375,-0.000921609,0.002787566,0.000501112,-0.001709259,,,,,,,,,
1009.5,-0.001545454,0.002785374,0.001159906,-0.000226822,,,,,,,,,
1009.625,0.002814921,0.001679827,-0.000821385,-0.002454302,,,,,,,,,
1009.75,0.001568049,0.002229312,0.00049743,-0.005426196,,,,,,,,,
1009.875,-0.000301851,0.003330474,-0.000163819,-0.003199344,,,,,,,,,
1010,-0.000925696,-0.000533458,0.000494975,-0.000232941,,,,,,,,,
1010.125,-0.002795595,-0.000535651,0.000493748,-0.001718437,,,,,,,,,
1010.25,-0.002173385,0.003875575,-0.000827522,0.001250399,,,,,,,,,
1010.375,-0.001551175,-0.001091712,-0.001488771,-0.001721496,,,,,,,,,
1010.5,-0.00217502,-0.001093904,-0.001489998,-0.001723026,,,,,,,,,
1010.625,-0.000929782,0.001110612,-0.001491225,-0.001724555,,,,,,,,,
1010.75,-0.004045736,-0.000546612,0.000487611,-0.000984102,,,,,,,,,
1010.875,0.002183721,-0.000548804,0.001146405,-0.002469598,,,,,,,,,
1011,-0.001555261,6.81086E-07,-0.000174865,0.001983204,,,,,,,,,
1011.125,0.001559059,-1.51115E-06,-0.000176092,0.002723658,,,,,,,,,
1011.25,-0.006541115,-0.000555381,0.001142723,-0.000248237,,,,,,,,,
1011.375,-0.002803768,0.000545782,0.001141495,-0.003962115,,,,,,,,,
1011.5,-0.00155853,-0.000559765,-0.000179774,-0.000251296,,,,,,,,,
1011.625,0.000932762,-0.001113635,-0.000181002,-0.000252826,,,,,,,,,
1011.75,-0.001560165,-1.24723E-05,-0.00084225,0.000487628,,,,,,,,,
1011.875,0.000308101,0.000537013,0.000476565,0.003456463,,,,,,,,,
1012,-0.001561799,-0.002223566,0.000475338,0.004196917,,,,,,,,,
1012.125,0.004044632,0.001084305,0.003114195,-0.004713276,,,,,,,,,
1012.25,-0.000940406,0.002737145,0.002452946,-0.000260474,,,,,,,,,
1012.375,0.001550887,0.002183275,0.001791697,-0.000262004,,,,,,,,,
1012.5,-0.002188096,0.002181083,0.000470428,0.00047845,,,,,,,,,
1012.625,-0.004057995,0.001627214,0.000469201,0.001963319,,,,,,,,,
1012.75,-0.00218973,0.001073344,0.000467973,0.005674138,,,,,,,,,
